CNAE	Setor / Indústria	Categoria
4729-6/99	Alimentos	Comércio Varejista
4731-8/00	Combustível	Comércio Varejista
4732-6/00	Combustível	Comércio Varejista
4741-5/00	Ind. Tintas	Comércio Varejista
4742-3/00	Construção Civil	Comércio Varejista
4743-1/00	Construção Civil	Comércio Varejista
4744-0/01	Construção Civil	Comércio Varejista
4744-0/02	Ind. da Madeira	Comércio Varejista
4744-0/03	Construção Civil	Comércio Varejista
4744-0/04	Construção Civil	Comércio Varejista
4744-0/05	Construção Civil	Comércio Varejista
4744-0/06	Construção Civil	Comércio Varejista
4744-0/99	Construção Civil	Comércio Varejista
4751-2/01	Ind. Elétricos e Eletrônicos	Comércio Varejista
4751-2/02	Fumo	Comércio Varejista
4752-1/00	Telecomunicações	Comércio Varejista
4753-9/00	Ind. Elétricos e Eletrônicos	Comércio Varejista
4754-7/01	Comércio	Comércio Varejista
4754-7/02	Comércio	Comércio Varejista
4754-7/03	Comércio	Comércio Varejista
4755-5/01	Comércio	Comércio Varejista
4755-5/02	Comércio	Comércio Varejista
4755-5/03	Comércio	Comércio Varejista
4756-3/00	Comércio	Comércio Varejista
4757-1/00	Comércio	Comércio Varejista
4759-8/01	Comércio	Comércio Varejista
4759-8/99	Comércio	Comércio Varejista
4761-0/01	Comércio	Comércio Varejista
4761-0/02	Comércio	Comércio Varejista
4761-0/03	Comércio	Comércio Varejista
4762-8/00	Comércio	Comércio Varejista
4763-6/01	Comércio	Comércio Varejista
4763-6/02	Comércio	Comércio Varejista
4763-6/03	Comércio	Comércio Varejista
4763-6/04	Comércio	Comércio Varejista
4763-6/05	Comércio	Comércio Varejista
4771-7/01	Comércio	Comércio Varejista
4771-7/02	Comércio	Comércio Varejista
4771-7/03	Comércio	Comércio Varejista
4771-7/04	Comércio	Comércio Varejista
4772-5/00	Comércio	Comércio Varejista
4773-3/00	Comércio	Comércio Varejista
4774-1/00	Comércio	Comércio Varejista
4781-4/00	Comércio	Comércio Varejista
4782-2/01	Comércio	Comércio Varejista
4782-2/02	Comércio	Comércio Varejista
4783-1/01	Comércio	Comércio Varejista
4783-1/02	Comércio	Comércio Varejista
4784-9/00	Comércio	Comércio Varejista
4785-7/01	Comércio	Comércio Varejista
