CNAE	Setor / Indústria	Categoria
8711-5/02	 Saúde                                    	Serviços
8711-5/03	 Saúde                                    	Serviços
8711-5/04	 Saúde                                    	Serviços
8711-5/05	 Saúde                                    	Serviços
8712-3/00	 Saúde                                    	Serviços
8720-4/01	 Saúde                                    	Serviços
8720-4/99	 Saúde                                    	Serviços
8730-1/01	 Saúde                                    	Serviços
8730-1/02	 Saúde                                    	Serviços
8730-1/99	 Saúde                                    	Serviços
8800-6/00	 Assistência Social                       	Serviços
9001-9/01	 Arte, Cultura, Esporte e Recreação       	 Produção de Espetáculos                   
9001-9/02	 Arte, Cultura, Esporte e Recreação       	 Produção de Espetáculos                   
9001-9/03	 Arte, Cultura, Esporte e Recreação       	 Produção de Espetáculos                   
9001-9/04	 Arte, Cultura, Esporte e Recreação       	 Produção de Espetáculos                   
9001-9/05	 Arte, Cultura, Esporte e Recreação       	 Produção de Espetáculos                   
9001-9/06	 Arte, Cultura, Esporte e Recreação       	 Produção de Espetáculos                   
9001-9/99	 Arte, Cultura, Esporte e Recreação       	 Artes Cênicas, Espetáculos e Atividades Complementares 
9002-7/01	 Arte, Cultura, Esporte e Recreação       	 Artes Cênicas, Espetáculos e Atividades Complementares 
9002-7/02	 Arte, Cultura, Esporte e Recreação       	 Artes Cênicas, Espetáculos e Atividades Complementares 
9003-5/00	 Arte, Cultura, Esporte e Recreação       	 Artes Cênicas, Espetáculos e Atividades Complementares 
9101-5/00	 Educação                                 	 Bibliotecas e Arquivos                    
9102-3/01	 Educação                                 	 Museus e Exploração de Lugares e Prédios Históricos e Atrações Similares 
9102-3/02	 Educação                                 	 Museus e Exploração de Lugares e Prédios Históricos e Atrações Similares 
9103-1/00	 Educação                                 	 Jardins Botânicos, Zoológicos, Parques Nacionais, Reservas Ecológicas e Áreas de Proteção Ambiental 
9200-3/01	 Entretenimento e Recreação               	 Jogos de Azar e Apostas                    
9200-3/02	 Entretenimento e Lazer                   	 Apostas e Jogos de Azar                   
9200-3/99	 Entretenimento e Lazer                   	 Apostas e Jogos de Azar                   
9311-5/00	 Entretenimento e Lazer                   	 Gestão de Instalações Esportivas          
9312-3/00	 Entretenimento e Lazer                   	 Clubes Sociais, Esportivos e Similares     
9313-1/00	 Entretenimento e Lazer                   	 Atividades de Condicionamento Físico      
9319-1/01	 Entretenimento e Lazer                   	 Produção e Promoção de Eventos Esportivos 
9319-1/99	 Entretenimento e Lazer                   	 Outras Atividades Esportivas              
9321-2/00	 Entretenimento e Lazer                   	 Parques de Diversão e Parques Temáticos    
9329-8/01	 Entretenimento e Lazer                   	 Locais de Entretenimento (Discotecas)      
9329-8/02	 Entretenimento e Lazer                   	 Locais de Entretenimento (Boliches)        
9329-8/03	 Entretenimento e Lazer                   	 Locais de Entretenimento (Jogos de Sinuca, Bilhar) 
9329-8/04	 Entretenimento e Lazer                   	 Locais de Entretenimento (Jogos Eletrônicos) 
9329-8/99	 Entretenimento e Lazer                   	 Recreação e Lazer Não Especificados       
9411-1/00	 Associações Empresariais e Profissionais 	 Associações Patronais e Empresariais      
9412-0/01	 Associações Empresariais e Profissionais 	 Fiscalização Profissional                 
9412-0/99	 Associações Empresariais e Profissionais 	 Associações Profissionais Não Especificadas 
9420-1/00	 Associações Sindicais                    	 Organizações Sindicais                   
9430-8/00	 Associações de Defesa de Direitos Sociais 	 Defesa de Direitos Sociais               
9491-0/00	 Organizações Religiosas                 	 Organizações Religiosas                  
9492-8/00	 Organizações Políticas                  	 Organizações Políticas                   
9493-6/00	 Organizações Culturais e Artísticas     	 Organizações Culturais e Artísticas      
9499-5/00	 Outras Atividades Associativas           	 Associações Não Especificadas            
9511-8/00	 Rep. e Manut.de Equiptos.	 Reparação de Computadores                
9512-6/00	 Rep. e Manut.de Equiptos.	 Reparação de Equipamentos de Comunicação  
9521-5/00	 Rep. e Manut.de Equiptos.	 Equipamentos Eletroeletrônicos           
9529-1/01	 Rep. e Manut.de Equiptos.	 Calçados, Bolsas e Artigos de Viagem      
9529-1/02	 Rep. e Manut.de Equiptos.	 Chaveiros                               
9529-1/03	 Rep. e Manut.de Equiptos.	 Relógios                                
9529-1/04	 Rep. e Manut.de Equiptos.	 Veículos Não-Motorizados                
9529-1/05	 Rep. e Manut.de Equiptos.	 Artigos do Mobiliário                   
9529-1/06	 Rep. e Manut.de Equiptos.	 Jóias                                   
9529-1/99	 Rep. e Manut.de Equiptos.	 Outros Equipamentos e Objetos Pessoais   
9601-7/01	 Serviços Pessoais e Domésticos            	 Lavanderias                             
9601-7/02	 Serviços Pessoais e Domésticos            	 Tinturarias                             
9601-7/03	 Serviços Pessoais e Domésticos            	 Toalheiros                              
9602-5/01	 Serviços Pessoais e Domésticos            	 Cabeleireiros, Manicure e Pedicure      
9602-5/02	 Serviços Pessoais e Domésticos            	 Cuidados com a Beleza                   
9603-3/01	 Serviços Pessoais e Domésticos            	 Gestão de Cemitérios                    
9603-3/02	 Serviços Pessoais e Domésticos            	 Serviços de Cremação                    
9603-3/03	 Serviços Pessoais e Domésticos            	 Serviços de Sepultamento                
9603-3/04	 Serviços Pessoais e Domésticos            	 Funerárias                              
9603-3/05	 Serviços Pessoais e Domésticos            	 Somatoconservação                       
9603-3/99	 Serviços Pessoais e Domésticos            	 Atividades Funerárias Não Especificadas  
9609-2/02	 Serviços Pessoais e Domésticos            	 Agências Matrimoniais                  
9609-2/07	 Serviços Pessoais e Domésticos            	 Alojamento de Animais Domésticos        
9609-2/08	 Serviços Pessoais e Domésticos            	 Higiene e Embelezamento de Animais      
9609-2/04	 Serviços Pessoais e Domésticos            	 Máquinas de Serviços Pessoais           
9609-2/05	 Serviços Pessoais e Domésticos            	 Sauna e Banhos                          
9609-2/06	 Serviços Pessoais e Domésticos            	 Tatuagem e Piercing                     
9609-2/99	 Serviços Pessoais e Domésticos            	 Outros Serviços Pessoais Não Especificados 
9700-5/00	 Serviços Pessoais e Domésticos            	 Serviços Domésticos                     
9900-8/00	 Outros                                   	 Organismos Internacionais e Instituições Extraterritoriais 


